candidate_skill,candidate_experience,candidate_work_style,candidate_communication,team_avg_skill,team_experience,team_work_style,team_communication,skill_gap,experience_gap,work_style_match,communication_gap,compatible
7.083785052900495,0,1,9,9.32312266264512,0,1,10,3,0,1,1,1
4.581129798752833,3,0,6,9.367238372500609,1,1,9,5,2,0,3,0
7.730204389631434,2,1,1,8.961440073113064,0,0,7,2,2,0,6,1
5.447455278013413,3,0,1,8.882363045013781,1,1,4,4,2,0,3,0
6.183992557486791,3,1,6,11.072912462538245,4,0,6,3,1,0,0,1
9.547526083530967,3,0,4,2.2275320389232998,1,0,2,7,2,1,2,1
2.096479302534092,3,1,4,4.009017757130644,0,1,7,2,3,1,3,1
6.862577349665104,4,0,6,7.250409399021151,5,1,2,1,1,0,4,1
7.9768693913668285,4,1,7,8.449179784173493,4,0,10,0,0,0,3,1
5.05705074611326,1,1,9,4.562388359992906,0,1,8,1,1,1,1,1
4.030941676443567,0,0,10,0.7437056015107456,1,1,8,3,1,0,2,1
7.536223334594136,3,0,5,1.3416062020005344,2,0,1,7,1,1,4,1
7.904879577793392,1,0,9,4.695127663755994,3,0,8,4,2,1,1,1
2.2512766656971257,0,0,4,6.8936732072149125,0,0,2,3,0,1,2,1
6.681614487566125,5,1,10,7.876832359410076,1,0,6,2,4,0,4,0
4.848186963550999,2,1,2,4.849264141165007,4,1,1,1,2,1,1,1
1.7555569404781544,4,0,3,8.589560538795157,0,1,5,7,4,0,2,0
8.79447016422204,5,1,1,8.786597902532371,0,0,7,1,5,0,6,0
5.378876733225385,0,0,6,1.8705306017108048,3,0,10,4,3,1,4,0
1.4372064429840155,5,0,6,9.90607029949564,1,0,1,8,4,1,5,0
4.451889837565718,2,1,1,1.5594472989653347,2,1,2,4,0,1,1,0
0.9660643091502591,0,1,3,2.637214213343791,4,0,7,1,4,0,4,0
10.215815814818798,5,1,5,4.9141631730376085,1,1,6,5,4,1,1,0
6.369837734058917,4,1,3,4.549242438025909,4,0,3,2,0,0,0,1
10.285997658747485,4,1,10,4.178830683315545,0,0,10,5,4,0,0,0
-0.12471622710038188,1,1,3,9.032252986431287,3,0,2,8,2,0,1,1
10.304367794562209,5,1,10,8.453272078554981,3,1,10,2,2,1,0,1
2.7214347137138843,3,0,3,6.036126024118958,5,1,4,3,2,0,1,1
6.706792425555613,5,0,5,2.028905588548881,2,1,3,6,3,0,2,0
3.690113935873061,0,0,5,1.2807944166027205,3,0,7,2,3,1,2,1
8.545615164596013,0,0,4,5.742414550453991,0,1,8,3,0,0,4,1
3.842262417301726,5,0,1,1.936740551523025,2,1,2,1,3,0,1,1
5.421148663506951,2,1,5,10.219726345228995,1,0,10,5,1,0,5,0
3.0115979892786875,4,0,10,5.6339802435515445,3,0,7,2,1,1,3,1
7.6755078762435005,0,0,5,4.987800716381922,2,1,8,2,2,0,3,1
4.243735517350562,4,0,4,5.288885175246897,0,1,6,1,4,0,2,0
8.334647434334537,0,0,6,6.421256948227502,5,1,6,3,5,0,0,1
5.911016133902656,1,0,10,6.377479383070982,4,1,10,1,3,0,0,1
1.6502927299383563,3,0,4,1.029070670310297,4,0,1,0,1,1,3,1
4.080849263352376,0,0,7,9.998097933164601,0,0,4,6,0,1,3,1
9.051429288966167,4,1,7,2.204929084659851,0,0,1,6,4,0,6,0
2.0746709555299403,1,1,2,5.667674451248969,4,1,4,4,3,1,2,0
9.29447158446696,0,0,3,7.5485955365186,5,1,2,2,5,0,1,1
9.401577371307011,2,1,1,1.4046323491209929,2,0,5,8,0,0,4,0
10.119813759119499,3,1,8,1.058415087086092,4,0,10,9,1,0,2,0
5.366527140732999,0,1,9,1.3572044996219863,0,1,9,3,0,1,0,1
1.053618911204974,1,1,4,6.440032981478671,3,1,10,4,2,1,6,1
4.155745429398895,2,0,6,8.283097088035793,1,0,3,5,1,1,3,1
6.406117380041237,5,1,9,4.165056895235471,5,0,8,3,0,0,1,1
7.801338373724319,1,1,6,2.592994665354222,5,0,3,5,4,0,3,0
3.2671824493181916,1,1,9,7.81716145873474,3,1,6,5,2,1,3,1
1.0455468031279567,2,0,4,10.252135374019192,3,1,4,9,1,0,0,0
3.5742300101103406,1,0,8,9.260724699529764,0,1,8,5,1,0,0,0
2.0031365780922092,2,0,9,5.66848453677798,4,1,6,3,2,0,3,1
7.234232342378179,0,0,4,8.958873150164273,2,1,8,1,2,0,4,1
4.575133697949148,2,0,5,2.1532254314816703,5,1,1,2,3,0,4,0
1.8973579902518745,2,0,8,2.7811313387978376,5,0,6,1,3,1,2,1
6.559274972127663,3,0,10,7.090994941311399,3,0,1,1,0,1,9,1
5.736734156451979,2,1,6,7.219743024004256,4,1,1,1,2,1,5,1
9.738212005796708,2,1,7,5.950845076272812,5,0,8,4,3,0,1,0
3.6179066066810766,5,1,3,5.098124757953752,2,1,7,2,3,1,4,0
6.438086965846538,0,0,7,2.1657354481654476,3,0,3,4,3,1,4,0
1.645284421335762,3,0,8,10.18228073867773,2,1,6,8,1,0,2,0
10.322297716207588,5,0,10,5.659913261826024,4,0,9,4,1,1,1,1
1.808773801165355,4,0,6,3.3578064819637428,5,0,7,2,1,1,1,1
9.01201835005419,0,0,10,3.737939575251983,1,1,3,7,1,0,7,0
3.714842966106767,0,1,9,2.245722755447201,5,1,6,2,5,1,3,1
7.410445892818576,4,1,6,0.8854594845391451,4,0,4,7,0,0,2,0
7.016951361841169,2,0,9,4.431483558426256,5,0,3,2,3,1,6,1
8.404796132162755,5,0,4,1.589092585789327,5,1,9,7,0,0,5,0
8.462987550357308,1,0,8,2.651295198393116,0,0,10,6,1,1,2,1
4.954462069823486,3,0,4,7.068830970434023,5,1,2,2,2,0,2,1
1.9112020026206304,1,1,2,7.724706466499646,5,1,1,6,4,1,1,0
5.327946068893791,4,0,10,10.254844615612328,2,0,2,5,2,1,8,0
8.48195346703793,0,0,9,7.592800906276838,1,1,7,0,1,0,2,1
9.989950624115174,0,0,5,4.750421515140189,2,0,10,6,2,1,5,0
8.614399850225354,3,0,4,1.6764002674483627,2,0,1,8,1,1,3,1
8.113015191943935,0,1,2,6.766712964398612,3,1,6,2,3,1,4,1
0.65697512148241,0,0,1,0.6856648764845699,0,0,7,0,0,1,6,1
8.691393876676019,3,0,7,2.69093340065386,2,1,9,5,1,0,2,0
7.053528726496149,5,1,6,7.259209614224316,4,1,8,1,1,1,2,1
8.827426559430986,5,1,2,1.330265112521122,4,1,6,7,1,1,4,0
8.343966486025714,3,1,8,6.067595170493693,5,0,3,2,2,0,5,1
0.6935083643646552,4,0,4,5.836883147779321,3,1,8,5,1,0,4,0
7.971479416573529,0,0,8,8.32733225629238,0,0,7,1,0,1,1,1
8.591993721598445,0,1,7,4.859417978767722,0,1,3,3,0,1,4,1
3.1709126069774833,4,1,5,10.252668573823675,5,1,9,7,1,1,4,0
0.9699812291557177,5,1,10,4.263919674957793,4,1,2,3,1,1,8,1
7.699027779032411,2,1,10,4.050164859570559,1,0,3,3,1,0,7,1
2.6833843016425116,2,1,8,9.935868259758085,3,0,2,7,1,0,6,0
2.5746933735240263,2,1,9,4.3083296115141945,5,1,1,2,3,1,8,1
0.7294965671085503,5,0,5,8.450864348570137,3,1,4,7,2,0,1,0
5.377832919372158,5,0,10,10.392073208176749,4,0,5,5,1,1,5,0
9.889055864353866,4,0,5,7.550986386837771,4,0,6,2,0,1,1,1
6.325113465309385,0,1,2,1.6169773987998002,1,0,5,5,1,0,3,0
10.884084646529892,4,1,5,6.769366474750846,1,1,1,3,3,1,4,1
9.15998259557258,4,1,3,6.87360330263433,0,0,3,1,4,0,0,1
6.296528299743415,5,1,7,6.167984086720288,3,1,1,1,2,1,6,1
8.779075536379588,2,1,10,4.863577726829934,3,0,5,4,1,0,5,0
8.05544319141421,1,1,5,9.48508754128393,4,1,5,1,3,1,0,1
2.8522960466486884,0,0,8,2.4507953910187235,0,1,6,1,0,0,2,1
0.44594377087056536,5,0,1,9.690438525875035,5,1,8,9,0,0,7,0
7.488020359677973,2,1,3,3.2467373709804423,3,0,10,3,1,0,7,1
7.699743213486172,1,0,3,8.497854718252874,0,0,1,2,1,1,2,1
7.6856728474627145,1,1,9,5.409009001965891,0,0,4,2,1,0,5,1
4.861243190569883,5,0,5,8.497986839423223,4,1,10,3,1,0,5,1
2.4818453763131147,3,1,9,6.650869075624303,0,1,1,4,3,1,8,0
7.898269429459847,0,1,9,2.0620878423723066,1,0,9,6,1,0,0,0
5.9817050128285345,1,0,1,2.809618298069098,1,1,7,3,0,0,6,1
3.3298249990411852,5,0,2,0.3652673669935935,2,1,7,2,3,0,5,1
1.5450917355102234,5,1,5,8.915849788414178,4,1,5,8,1,1,0,1
2.6259519676891765,2,1,4,7.299551665931797,5,0,7,4,3,0,3,0
4.016337467887003,3,0,10,0.39612030372832385,2,1,2,4,1,0,8,0
2.989377610361879,0,0,9,3.4045563953656894,1,0,4,0,1,1,5,1
1.1467687649843203,4,1,7,3.575139539261152,2,0,7,3,2,0,0,1
5.124708843842521,2,0,6,3.7585080369635797,4,0,3,1,2,1,3,1
9.836663376245477,1,1,7,5.265341561505024,4,0,2,5,3,0,5,0
7.062376049831967,1,1,1,2.668281921390256,0,0,10,4,1,0,9,0
7.757722404176124,2,1,1,3.018787429667933,3,1,2,4,1,1,1,1
9.190867084481255,5,1,8,0.8426545856059537,0,0,1,8,5,0,7,0
9.813315787498457,1,0,2,7.06468400335191,4,0,5,3,3,1,3,1
9.749901091452003,3,0,10,8.809630447238252,1,0,6,0,2,1,4,1
2.9150738211611347,0,0,9,0.08515909239595854,5,1,6,2,5,0,3,1
7.81836998091532,3,0,7,2.307983503023419,1,1,9,5,2,0,2,0
0.9083496452369013,1,0,6,4.518590702824525,0,1,4,3,1,0,2,1
3.990102827739646,4,0,1,3.544756648234239,5,1,1,0,1,0,0,1
3.7588432145318484,0,0,1,4.8779858239144325,4,0,6,1,4,1,5,0
5.549491678720982,0,1,2,2.1473596264511507,1,0,5,3,1,0,3,1
7.979918627372338,2,0,6,4.346608800829352,4,1,10,3,2,0,4,1
7.225306524715694,2,0,6,-0.013838635835424329,5,1,6,6,3,0,0,0
4.041386451892713,4,1,2,1.5569798765108114,5,1,3,2,1,1,1,1
